"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","GET /todos/{id} (200)","chromium","Wed Apr 30 21:45:33 GMT 2025","passed","Wed Apr 30 21:45:33 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","88","GET /challenger/database/guid (200)","chromium","Wed Apr 30 21:45:37 GMT 2025","passed","Wed Apr 30 21:45:37 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","90","POST /todos (415)","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","90","GET /todos (200) XML pref","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","3747","Изображение продукта полностью заполняет поле, как и все остальные изображения продуктов.","chromium","Wed Apr 30 21:45:40 GMT 2025","passed","Wed Apr 30 21:45:44 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","89","POST /todos XML","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","3043","Валюта изменена, как и ожидалось.","chromium","Wed Apr 30 21:46:10 GMT 2025","passed","Wed Apr 30 21:46:13 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","94","POST /todos (400) title too long","chromium","Wed Apr 30 21:45:34 GMT 2025","passed","Wed Apr 30 21:45:34 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","93","POST /todos (400) extra","chromium","Wed Apr 30 21:45:34 GMT 2025","passed","Wed Apr 30 21:45:35 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","178","PUT /challenger/database/guid (Update)","chromium","Wed Apr 30 21:45:37 GMT 2025","passed","Wed Apr 30 21:45:37 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","88","PUT /todos/{id} full (200)","chromium","Wed Apr 30 21:45:35 GMT 2025","passed","Wed Apr 30 21:45:35 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","89","GET /todos (200) XML","chromium","Wed Apr 30 21:45:35 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","91","GET /todos (200) JSON","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","88","POST /todos JSON","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","6556","Ссылка на производителя показывает соответствующую страницу.","chromium","Wed Apr 30 21:45:58 GMT 2025","passed","Wed Apr 30 21:46:04 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","92","GET /todo (404) not plural","chromium","Wed Apr 30 21:45:33 GMT 2025","passed","Wed Apr 30 21:45:33 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","172","PUT /challenger/guid RESTORE","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:37 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","2631","Выбранное количество результатов отображается в соответствии с нажатыми кнопками.","chromium","Wed Apr 30 21:45:37 GMT 2025","passed","Wed Apr 30 21:45:40 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","91","PUT /todos/{id} partial (200)","chromium","Wed Apr 30 21:45:35 GMT 2025","passed","Wed Apr 30 21:45:35 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","134","POST /todos (201)","chromium","Wed Apr 30 21:45:34 GMT 2025","passed","Wed Apr 30 21:45:34 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","92","POST /todos (400) doneStatus","chromium","Wed Apr 30 21:45:34 GMT 2025","passed","Wed Apr 30 21:45:34 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","89","PUT /todos/{id} no amend id (400)","chromium","Wed Apr 30 21:45:35 GMT 2025","passed","Wed Apr 30 21:45:35 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","8496","Отображается список товаров в выбранном ценовом диапазоне.","chromium","Wed Apr 30 21:46:13 GMT 2025","passed","Wed Apr 30 21:46:22 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","5962","Желтый и оранжевый цвета написаны правильно.","chromium","Wed Apr 30 21:45:49 GMT 2025","passed","Wed Apr 30 21:45:55 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","99","POST /todos (413) content too long","chromium","Wed Apr 30 21:45:34 GMT 2025","passed","Wed Apr 30 21:45:34 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","5900","Значок Twitter должен перенаправлять пользователя в Twitter.","chromium","Wed Apr 30 21:46:04 GMT 2025","passed","Wed Apr 30 21:46:10 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","87","POST /todos JSON to XML","chromium","Wed Apr 30 21:45:37 GMT 2025","passed","Wed Apr 30 21:45:37 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","89","POST /todos/{id} (404)","chromium","Wed Apr 30 21:45:35 GMT 2025","passed","Wed Apr 30 21:45:35 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","92","PUT /todos/{id} (400)","chromium","Wed Apr 30 21:45:35 GMT 2025","passed","Wed Apr 30 21:45:35 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","87","GET /todos (200) ANY","chromium","Wed Apr 30 21:45:36 GMT 2025","passed","Wed Apr 30 21:45:36 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","30","POST /todos XML to JSON","chromium","Wed Apr 30 21:45:37 GMT 2025","passed","Wed Apr 30 21:45:37 GMT 2025","API challenge","apiChallenges.spec.js","",""
"","308","GET /todos (200) ?filter","chromium","Wed Apr 30 21:45:33 GMT 2025","passed","Wed Apr 30 21:45:34 GMT 2025","API challenge","apiChallenges.spec.js","",""
